city,year,weekofyear,total_cases
sj,2008,18,9
sj,2008,19,14
sj,2008,20,15
sj,2008,21,8
sj,2008,22,13
sj,2008,23,14
sj,2008,24,13
sj,2008,25,13
sj,2008,26,17
sj,2008,27,18
sj,2008,28,20
sj,2008,29,26
sj,2008,30,28
sj,2008,31,28
sj,2008,32,70
sj,2008,33,42
sj,2008,34,39
sj,2008,35,42
sj,2008,36,131
sj,2008,37,65
sj,2008,38,59
sj,2008,39,58
sj,2008,40,42
sj,2008,41,42
sj,2008,42,65
sj,2008,43,94
sj,2008,44,111
sj,2008,45,52
sj,2008,46,31
sj,2008,47,53
sj,2008,48,57
sj,2008,49,53
sj,2008,50,23
sj,2008,51,34
sj,2008,52,53
sj,2009,1,26
sj,2009,2,42
sj,2009,3,39
sj,2009,4,26
sj,2009,5,44
sj,2009,6,21
sj,2009,7,19
sj,2009,8,12
sj,2009,9,14
sj,2009,10,12
sj,2009,11,8
sj,2009,12,7
sj,2009,13,11
sj,2009,14,7
sj,2009,15,9
sj,2009,16,9
sj,2009,17,10
sj,2009,18,6
sj,2009,19,6
sj,2009,20,8
sj,2009,21,8
sj,2009,22,15
sj,2009,23,15
sj,2009,24,13
sj,2009,25,19
sj,2009,26,16
sj,2009,27,20
sj,2009,28,22
sj,2009,29,28
sj,2009,30,36
sj,2009,31,41
sj,2009,32,36
sj,2009,33,32
sj,2009,34,38
sj,2009,35,34
sj,2009,36,32
sj,2009,37,43
sj,2009,38,41
sj,2009,39,48
sj,2009,40,41
sj,2009,41,72
sj,2009,42,47
sj,2009,43,48
sj,2009,44,62
sj,2009,45,51
sj,2009,46,40
sj,2009,47,76
sj,2009,48,60
sj,2009,49,104
sj,2009,50,36
sj,2009,51,41
sj,2009,52,57
sj,2010,53,41
sj,2010,1,34
sj,2010,2,32
sj,2010,3,51
sj,2010,4,47
sj,2010,5,20
sj,2010,6,14
sj,2010,7,24
sj,2010,8,17
sj,2010,9,39
sj,2010,10,27
sj,2010,11,20
sj,2010,12,15
sj,2010,13,11
sj,2010,14,8
sj,2010,15,9
sj,2010,16,10
sj,2010,17,16
sj,2010,18,15
sj,2010,19,7
sj,2010,20,13
sj,2010,21,14
sj,2010,22,43
sj,2010,23,35
sj,2010,24,35
sj,2010,25,50
sj,2010,26,38
sj,2010,27,37
sj,2010,28,38
sj,2010,29,51
sj,2010,30,41
sj,2010,31,55
sj,2010,32,134
sj,2010,33,83
sj,2010,34,137
sj,2010,35,166
sj,2010,36,117
sj,2010,37,154
sj,2010,38,50
sj,2010,39,56
sj,2010,40,37
sj,2010,41,119
sj,2010,42,42
sj,2010,43,131
sj,2010,44,67
sj,2010,45,50
sj,2010,46,48
sj,2010,47,61
sj,2010,48,44
sj,2010,49,41
sj,2010,50,92
sj,2010,51,35
sj,2011,52,25
sj,2011,1,38
sj,2011,2,51
sj,2011,3,40
sj,2011,4,29
sj,2011,5,19
sj,2011,6,23
sj,2011,7,25
sj,2011,8,19
sj,2011,9,21
sj,2011,10,19
sj,2011,11,13
sj,2011,12,8
sj,2011,13,16
sj,2011,14,15
sj,2011,15,10
sj,2011,16,11
sj,2011,17,12
sj,2011,18,10
sj,2011,19,9
sj,2011,20,15
sj,2011,21,19
sj,2011,22,14
sj,2011,23,19
sj,2011,24,67
sj,2011,25,30
sj,2011,26,31
sj,2011,27,41
sj,2011,28,39
sj,2011,29,15
sj,2011,30,57
sj,2011,31,34
sj,2011,32,119
sj,2011,33,61
sj,2011,34,159
sj,2011,35,47
sj,2011,36,29
sj,2011,37,42
sj,2011,38,46
sj,2011,39,37
sj,2011,40,138
sj,2011,41,146
sj,2011,42,62
sj,2011,43,134
sj,2011,44,50
sj,2011,45,65
sj,2011,46,55
sj,2011,47,67
sj,2011,48,57
sj,2011,49,45
sj,2011,50,47
sj,2011,51,33
sj,2012,52,32
sj,2012,1,30
sj,2012,2,31
sj,2012,3,21
sj,2012,4,44
sj,2012,5,40
sj,2012,6,26
sj,2012,7,20
sj,2012,8,20
sj,2012,9,20
sj,2012,10,19
sj,2012,11,13
sj,2012,12,13
sj,2012,13,15
sj,2012,14,14
sj,2012,15,12
sj,2012,16,10
sj,2012,17,9
sj,2012,18,10
sj,2012,19,9
sj,2012,20,16
sj,2012,21,13
sj,2012,22,14
sj,2012,23,16
sj,2012,24,14
sj,2012,25,21
sj,2012,26,18
sj,2012,27,16
sj,2012,28,14
sj,2012,29,35
sj,2012,30,38
sj,2012,31,34
sj,2012,32,42
sj,2012,33,44
sj,2012,34,32
sj,2012,35,28
sj,2012,36,162
sj,2012,37,178
sj,2012,38,162
sj,2012,39,147
sj,2012,40,57
sj,2012,41,37
sj,2012,42,55
sj,2012,43,40
sj,2012,44,73
sj,2012,45,43
sj,2012,46,67
sj,2012,47,66
sj,2012,48,61
sj,2012,49,65
sj,2012,50,36
sj,2012,51,36
sj,2013,1,37
sj,2013,2,22
sj,2013,3,23
sj,2013,4,32
sj,2013,5,35
sj,2013,6,27
sj,2013,7,15
sj,2013,8,17
sj,2013,9,12
sj,2013,10,12
sj,2013,11,8
